,td,ttd_mr_per,ttd_mr_add,ttd_mr_mul,ttd_mr_inv,ttd_mr_inc,ttd_mr_exc,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
1033,"[9, -15, -13, 5, 3, 21, -4, -6, -19, -10, 9, 3, -15]","[-10, 9, -19, 21, 5, 9, 3, -15, -6, -13, -15, -4, 3]","[11, -13, -11, 7, 5, 23, -2, -4, -17, -8, 11, 5, -13]","[18, -30, -26, 10, 6, 42, -8, -12, -38, -20, 18, 6, -30]","[0.1111111111111111, -0.06666666666666667, -0.07692307692307693, 0.2, 0.3333333333333333, 0.047619047619047616, -0.25, -0.16666666666666666, -0.05263157894736842, -0.1, 0.1111111111111111, 0.3333333333333333, -0.06666666666666667]","[9, -15, -13, 5, 3, 21, -4, -6, -19, -10, 9, 3, 2, -15]","[9, -15, -13, 5, 3, 21, -4, -6, -19, -10, 3, -15]",-32,-32,-6,-64,0.3569532806374912,-30,-41,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
1034,[14],[14],[16],[28],[0.07142857142857142],"[2, 14]",[],14,14,16,28,0.07142857142857142,16,0,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
1035,"[-11, 31, 31, 17, 7, -25, 24]","[31, 31, -25, -11, 24, 17, 7]","[-9, 33, 33, 19, 9, -23, 26]","[-22, 62, 62, 34, 14, -50, 48]","[-0.09090909090909091, 0.03225806451612903, 0.03225806451612903, 0.058823529411764705, 0.14285714285714285, -0.04, 0.041666666666666664]","[-11, 31, 2, 31, 17, 7, -25, 24]","[-11, 31, 31, 17, 7, 24]",74,74,88,148,0.17695437705874134,76,99,No-violate,No-violate,No-violate,No-violate,Violate,0,0,0,0,1
1036,"[-6, -18, 15, 3, 1, 13, -18, -24, 15]","[13, -18, 1, -18, 3, 15, -6, 15, -24]","[-4, -16, 17, 5, 3, 15, -16, -22, 17]","[-12, -36, 30, 6, 2, 26, -36, -48, 30]","[-0.16666666666666666, -0.05555555555555555, 0.06666666666666667, 0.3333333333333333, 1.0, 0.07692307692307693, -0.05555555555555555, -0.041666666666666664, 0.06666666666666667]","[-6, 2, -18, 15, 3, 1, 13, -18, -24, 15]","[-6, -18, 15, 3, 1, 13, -18, -24]",-19,-19,-1,-38,1.224145299145299,-17,-34,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
1037,"[11, -5, -12, -13, 10, -1, 1]","[-13, 1, -1, 10, 11, -12, -5]","[13, -3, -10, -11, 12, 1, 3]","[22, -10, -24, -26, 20, -2, 2]","[0.09090909090909091, -0.2, -0.08333333333333333, -0.07692307692307693, 0.1, -1.0, 1.0]","[11, -5, 2, -12, -13, 10, -1, 1]","[11, -12, -13, 10, -1, 1]",-9,-9,5,-18,-0.1693473193473194,-7,-4,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
1038,"[-10, -9, 5]","[5, -10, -9]","[-8, -7, 7]","[-20, -18, 10]","[-0.1, -0.1111111111111111, 0.2]","[-10, -9, 5, 2]","[-10, 5]",-14,-14,-8,-28,-0.0111111111111111,-12,-5,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
1039,"[9, 12, 10, 1, 9, 7, -12, -17, -8, -11, 12]","[1, 9, 9, -8, 7, -12, -11, -17, 12, 12, 10]","[11, 14, 12, 3, 11, 9, -10, -15, -6, -9, 14]","[18, 24, 20, 2, 18, 14, -24, -34, -16, -22, 24]","[0.1111111111111111, 0.08333333333333333, 0.1, 1.0, 0.1111111111111111, 0.14285714285714285, -0.08333333333333333, -0.058823529411764705, -0.125, -0.09090909090909091, 0.08333333333333333]","[9, 2, 12, 10, 1, 9, 7, -12, -17, -8, -11, 12]","[9, 12, 10, 9, 7, -12, -17, -8, -11, 12]",12,12,34,24,1.2736800780918427,14,11,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
1040,"[8, 12, -7]","[-7, 12, 8]","[10, 14, -5]","[16, 24, -14]","[0.125, 0.08333333333333333, -0.14285714285714285]","[8, 2, 12, -7]","[8, 12]",13,13,19,26,0.06547619047619047,15,20,No-violate,No-violate,No-violate,No-violate,Violate,0,0,0,0,1
1041,"[15, -5, 9, -2, 20, 25, 19, -1, -18, 26, -11]","[9, 19, 20, 15, -18, -5, -2, 26, -11, 25, -1]","[17, -3, 11, 0, 22, 27, 21, 1, -16, 28, -9]","[30, -10, 18, -4, 40, 50, 38, -2, -36, 52, -22]","[0.06666666666666667, -0.2, 0.1111111111111111, -0.5, 0.05, 0.04, 0.05263157894736842, -1.0, -0.05555555555555555, 0.038461538461538464, -0.09090909090909091]","[15, -5, 9, -2, 20, 2, 25, 19, -1, -18, 26, -11]","[15, -5, 9, 20, 25, 19, -1, -18, 26, -11]",77,77,99,154,-1.4875937512779618,79,79,No-violate,No-violate,No-violate,No-violate,Violate,0,0,0,0,1
1042,"[-16, 19, -16, -10, 6, 14, 1, 16, 19, 6, -8, -12, -3]","[1, -16, 19, -10, 16, 6, -16, 19, -12, 14, -8, -3, 6]","[-14, 21, -14, -8, 8, 16, 3, 18, 21, 8, -6, -10, -1]","[-32, 38, -32, -20, 12, 28, 2, 32, 38, 12, -16, -24, -6]","[-0.0625, 0.05263157894736842, -0.0625, -0.1, 0.16666666666666666, 0.07142857142857142, 1.0, 0.0625, 0.05263157894736842, 0.16666666666666666, -0.125, -0.08333333333333333, -0.3333333333333333]","[-16, 19, -16, -10, 6, 14, 2, 1, 16, 19, 6, -8, -12, -3]","[-16, 19, -16, -10, 6, 14, 1, 16, 19, -8, -12, -3]",16,16,42,32,0.805858395989975,18,10,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
1043,[10],[10],[12],[20],[0.1],"[10, 2]",[],10,10,12,20,0.1,12,0,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
